Video_ID,Transcript
bwbhzp,bin white by h zero please
bwbn2n,bin white by n two now
bwbn3s,bin white by n three soon
bwbn4p,bin white by n four please
bwbn5a,bin white by n five again
bwbt6n,bin white by t six now
bwbt7s,bin white by t seven soon
bwbt8p,bin white by t eight please
bwbt9a,bin white by t nine again
bwig1s,bin white in g one soon
bwig2p,bin white in g two please
bwig3a,bin white in g three again
bwigzn,bin white in g zero now
bwim4n,bin white in m four now
bwim5s,bin white in m five soon
bwim6p,bin white in m six please
bwim7a,bin white in m seven again
bwis8n,bin white in s eight now
bwis9s,bin white in s nine soon
bwit1a,bin white in t one again
bwitzp,bin white in t zero please
bwwa8n,bin white with a eight now
bwwa9s,bin white with a nine soon
bwwb1a,bin white with b one again
bwwbzp,bin white with b zero please
bwwh2n,bin white with h two now
bwwh3s,bin white with h three soon
bwwh4p,bin white with h four please
bwwh5a,bin white with h five again
bwwn6n,bin white with n six now
bwwn7s,bin white with n seven soon
bwwn8p,bin white with n eight please
bwwn9a,bin white with n nine again
bwwu1s,bin white with u one soon
bwwu2p,bin white with u two please
bwwu3a,bin white with u three again
bwwuzn,bin white with u zero now
lbad6n,lay blue at d six now
lbad7s,lay blue at d seven soon
lbad8p,lay blue at d eight please
lbad9a,lay blue at d nine again
lbak1s,lay blue at k one soon
lbak2p,lay blue at k two please
lbak3a,lay blue at k three again
lbakzn,lay blue at k zero now
lbaq4n,lay blue at q four now
lbaq5s,lay blue at q five soon
lbaq6p,lay blue at q six please
lbaq7a,lay blue at q seven again
lbax8n,lay blue at x eight now
lbax9s,lay blue at x nine soon
lbay1a,lay blue at y one again
lbayzp,lay blue at y zero please
lbbe1s,lay blue by e one soon
lbbe2p,lay blue by e two please
lbbe3a,lay blue by e three again
lbbezn,lay blue by e zero now
lbbk4n,lay blue by k four now
lbbk5s,lay blue by k five soon
lbbk6p,lay blue by k six please
lbbk7a,lay blue by k seven again
lbbq8n,lay blue by q eight now
lbbq9s,lay blue by q nine soon
lbbr1a,lay blue by r one again
lbbrzp,lay blue by r zero please
lbby2n,lay blue by y two now
lbby3s,lay blue by y three soon
lbby4p,lay blue by y four please
lbby5a,lay blue by y five again
lbid2n,lay blue in d two now
lbid3s,lay blue in d three soon
lbid4p,lay blue in d four please
lbid5a,lay blue in d five again
lbij6n,lay blue in j six now
lbij7s,lay blue in j seven soon
lbij8p,lay blue in j eight please
lbij9a,lay blue in j nine again
lbiq1s,lay blue in q one soon
lbiq2p,lay blue in q two please
lbiq3a,lay blue in q three again
lbiqzn,lay blue in q zero now
lbix4n,lay blue in x four now
lbix5s,lay blue in x five soon
lbix6p,lay blue in x six please
lbix7a,lay blue in x seven again
lbwe4n,lay blue with e four now
lbwe5s,lay blue with e five soon
lbwe6p,lay blue with e six please
lbwe7a,lay blue with e seven again
lbwk8n,lay blue with k eight now
lbwk9s,lay blue with k nine soon
lbwl1a,lay blue with l one again
lbwlzp,lay blue with l zero please
lbwr2n,lay blue with r two now
lbwr3s,lay blue with r three soon
lbwr4p,lay blue with r four please
lbwr5a,lay blue with r five again
lbwy6n,lay blue with y six now
lbwy7s,lay blue with y seven soon
lbwy8p,lay blue with y eight please
lbwy9a,lay blue with y nine again
lgaf4n,lay green at f four now
lgaf5s,lay green at f five soon
lgaf6p,lay green at f six please
lgaf7a,lay green at f seven again
lgal8n,lay green at l eight now
lgal9s,lay green at l nine soon
lgam1a,lay green at m one again
lgamzp,lay green at m zero please
lgas2n,lay green at s two now
lgas3s,lay green at s three soon
lgas4p,lay green at s four please
lgas5a,lay green at s five again
lgaz6n,lay green at z six now
lgaz7s,lay green at z seven soon
lgaz8p,lay green at z eight please
lgaz9a,lay green at z nine again
lgbf8n,lay green by f eight now
lgbf9s,lay green by f nine soon
lgbg1a,lay green by g one again
lgbgzp,lay green by g zero please
lgbm2n,lay green by m two now
lgbm3s,lay green by m three soon
lgbm4p,lay green by m four please
lgbm5a,lay green by m five again
lgbs6n,lay green by s six now
lgbs7s,lay green by s seven soon
lgbs8p,lay green by s eight please
lgbs9a,lay green by s nine again
lgif1s,lay green in f one soon
lgif2p,lay green in f two please
lgif3a,lay green in f three again
lgifzn,lay green in f zero now
lgil4n,lay green in l four now
lgil5s,lay green in l five soon
lgil6p,lay green in l six please
lgil7a,lay green in l seven again
lgir8n,lay green in r eight now
lgir9s,lay green in r nine soon
lgis1a,lay green in s one again
lgiszp,lay green in s zero please
lgiz2n,lay green in z two now
lgiz3s,lay green in z three soon
lgiz4p,lay green in z four please
lgiz5a,lay green in z five again
lgwa1a,lay green with a one again
lgwazp,lay green with a zero please
lgwg2n,lay green with g two now
lgwg3s,lay green with g three soon
lgwg4p,lay green with g four please
lgwg5a,lay green with g five again
lgwm6n,lay green with m six now
lgwm7s,lay green with m seven soon
lgwm8p,lay green with m eight please
lgwm9a,lay green with m nine again
lgwt1s,lay green with t one soon
lgwt2p,lay green with t two please
lgwt3a,lay green with t three again
lgwtzn,lay green with t zero now
lrae2n,lay red at e two now
lrae3s,lay red at e three soon
lrae4p,lay red at e four please
lrae5a,lay red at e five again
lrak6n,lay red at k six now
lrak7s,lay red at k seven soon
lrak8p,lay red at k eight please
lrak9a,lay red at k nine again
lrar1s,lay red at r one soon
lrar2p,lay red at r two please
lrar3a,lay red at r three again
lrarzn,lay red at r zero now
lray4n,lay red at y four now
lray5s,lay red at y five soon
lray6p,lay red at y six please
lray7a,lay red at y seven again
lrbe6n,lay red by e six now
lrbe7s,lay red by e seven soon
lrbe8p,lay red by e eight please
lrbe9a,lay red by e nine again
lrbl1s,lay red by l one soon
lrbl2p,lay red by l two please
lrbl3a,lay red by l three again
lrblzn,lay red by l zero now
lrbr4n,lay red by r four now
lrbr5s,lay red by r five soon
lrbr6p,lay red by r six please
lrbr7a,lay red by r seven again
lrby8n,lay red by y eight now
lrby9s,lay red by y nine soon
lrbz1a,lay red by z one again
lrbzzp,lay red by z zero please
lrid8n,lay red in d eight now
lrid9s,lay red in d nine soon
lrie1a,lay red in e one again
lriezp,lay red in e zero please
lrik2n,lay red in k two now
lrik3s,lay red in k three soon
lrik4p,lay red in k four please
lrik5a,lay red in k five again
lriq6n,lay red in q six now
lriq7s,lay red in q seven soon
lriq8p,lay red in q eight please
lriq9a,lay red in q nine again
lriy1s,lay red in y one soon
lriy2p,lay red in y two please
lriy3a,lay red in y three again
lriyzn,lay red in y zero now
lrwf1s,lay red with f one soon
lrwf2p,lay red with f two please
lrwf3a,lay red with f three again
lrwfzn,lay red with f zero now
lrwl4n,lay red with l four now
lrwl5s,lay red with l five soon
lrwl6p,lay red with l six please
lrwl7a,lay red with l seven again
lrwr8n,lay red with r eight now
lrwr9s,lay red with r nine soon
lrws1a,lay red with s one again
lrwszp,lay red with s zero please
lrwz2n,lay red with z two now
lrwz3s,lay red with z three soon
lrwz4p,lay red with z four please
lrwz5a,lay red with z five again
lwae8n,lay white at e eight now
lwae9s,lay white at e nine soon
lwaf1a,lay white at f one again
lwafzp,lay white at f zero please
lwal2n,lay white at l two now
lwal3s,lay white at l three soon
lwal4p,lay white at l four please
lwal5a,lay white at l five again
lwar6n,lay white at r six now
lwar7s,lay white at r seven soon
lwar8p,lay white at r eight please
lwar9a,lay white at r nine again
lwaz1s,lay white at z one soon
lwaz2p,lay white at z two please
lwaz3a,lay white at z three again
lwazzn,lay white at z zero now
lwbf2n,lay white by f two now
lwbf3s,lay white by f three soon
lwbf4p,lay white by f four please
lwbf5a,lay white by f five again
lwbl6n,lay white by l six now
lwbl7s,lay white by l seven soon
lwbl8p,lay white by l eight please
lwbl9a,lay white by l nine again
lwbs1s,lay white by s one soon
lwbs2p,lay white by s two please
lwbs3a,lay white by s three again
lwbszn,lay white by s zero now
lwbz4n,lay white by z four now
lwbz5s,lay white by z five soon
lwbz6p,lay white by z six please
lwbz7a,lay white by z seven again
lwie4n,lay white in e four now
lwie5s,lay white in e five soon
lwie6p,lay white in e six please
lwie7a,lay white in e seven again
lwik8n,lay white in k eight now
lwik9s,lay white in k nine soon
lwil1a,lay white in l one again
lwilzp,lay white in l zero please
lwir2n,lay white in r two now
lwir3s,lay white in r three soon
lwir4p,lay white in r four please
lwir5a,lay white in r five again
lwiy6n,lay white in y six now
lwiy7s,lay white in y seven soon
lwiy8p,lay white in y eight please
lwiy9a,lay white in y nine again
lwwf6n,lay white with f six now
lwwf7s,lay white with f seven soon
lwwf8p,lay white with f eight please
lwwf9a,lay white with f nine again
lwwm1s,lay white with m one soon
lwwm2p,lay white with m two please
lwwm3a,lay white with m three again
lwwmzn,lay white with m zero now
lwws4n,lay white with s four now
lwws5s,lay white with s five soon
lwws6p,lay white with s six please
lwws7a,lay white with s seven again
lwwz8n,lay white with z eight now
lwwz9s,lay white with z nine soon
pbac1s,place blue at c one soon
pbac2p,place blue at c two please
pbac3a,place blue at c three again
pbaczn,place blue at c zero now
pbai4n,place blue at i four now
pbai5s,place blue at i five soon
pbai6p,place blue at i six please
pbai7a,place blue at i seven again
pbao8n,place blue at o eight now
pbao9s,place blue at o nine soon
pbap1a,place blue at p one again
pbapzp,place blue at p zero please
pbav2n,place blue at v two now
pbav3s,place blue at v three soon
pbav4p,place blue at v four please
pbav5a,place blue at v five again
pbbc4n,place blue by c four now
pbbc5s,place blue by c five soon
pbbc6p,place blue by c six please
pbbc7a,place blue by c seven again
pbbi8n,place blue by i eight now
pbbi9s,place blue by i nine soon
pbbj1a,place blue by j one again
pbbjzp,place blue by j zero please
pbbp2n,place blue by p two now
pbbp3s,place blue by p three soon
pbbp4p,place blue by p four please
pbbp5a,place blue by p five again
pbbv6n,place blue by v six now
pbbv7s,place blue by v seven soon
pbbv8p,place blue by v eight please
pbbv9a,place blue by v nine again
pbib6n,place blue in b six now
pbib7s,place blue in b seven soon
pbib8p,place blue in b eight please
pbib9a,place blue in b nine again
pbii1s,place blue in i one soon
pbii2p,place blue in i two please
pbii3a,place blue in i three again
pbiizn,place blue in i zero now
pbio4n,place blue in o four now
pbio5s,place blue in o five soon
pbio6p,place blue in o six please
pbio7a,place blue in o seven again
pbiu8n,place blue in u eight now
pbiu9s,place blue in u nine soon
pbiv1a,place blue in v one again
pbivzp,place blue in v zero please
pbwc8n,place blue with c eight now
pbwc9s,place blue with c nine soon
pbwd1a,place blue with d one again
pbwdzp,place blue with d zero please
pbwj2n,place blue with j two now
pbwj3s,place blue with j three soon
pbwj4p,place blue with j four please
pbwj5a,place blue with j five again
pbwp6n,place blue with p six now
pbwp7s,place blue with p seven soon
pbwp8p,place blue with p eight please
pbwp9a,place blue with p nine again
pbwx1s,place blue with x one soon
pbwx2p,place blue with x two please
pbwx3a,place blue with x three again
pbwxzn,place blue with x zero now
pgad8n,place green at d eight now
pgad9s,place green at d nine soon
pgae1a,place green at e one again
pgaezp,place green at e zero please
pgak2n,place green at k two now
pgak3s,place green at k three soon
pgak4p,place green at k four please
pgak5a,place green at k five again
pgaq6n,place green at q six now
pgaq7s,place green at q seven soon
pgaq8p,place green at q eight please
pgaq9a,place green at q nine again
pgay1s,place green at y one soon
pgay2p,place green at y two please
pgay3a,place green at y three again
pgayzn,place green at y zero now
pgbe2n,place green by e two now
pgbe3s,place green by e three soon
pgbe4p,place green by e four please
pgbe5a,place green by e five again
pgbk6n,place green by k six now
pgbk7s,place green by k seven soon
pgbk8p,place green by k eight please
pgbk9a,place green by k nine again
pgbr1s,place green by r one soon
pgbr2p,place green by r two please
pgbr3a,place green by r three again
pgbrzn,place green by r zero now
pgby4n,place green by y four now
pgby5s,place green by y five soon
pgby6p,place green by y six please
pgby7a,place green by y seven again
pgid4n,place green in d four now
pgid5s,place green in d five soon
pgid6p,place green in d six please
pgid7a,place green in d seven again
pgij8n,place green in j eight now
pgij9s,place green in j nine soon
pgik1a,place green in k one again
pgikzp,place green in k zero please
pgiq2n,place green in q two now
pgiq3s,place green in q three soon
pgiq4p,place green in q four please
pgiq5a,place green in q five again
pgix6n,place green in x six now
pgix7s,place green in x seven soon
pgix8p,place green in x eight please
pgix9a,place green in x nine again
pgwe6n,place green with e six now
pgwe7s,place green with e seven soon
pgwe8p,place green with e eight please
pgwe9a,place green with e nine again
pgwl1s,place green with l one soon
pgwl2p,place green with l two please
pgwl3a,place green with l three again
pgwlzn,place green with l zero now
pgwr4n,place green with r four now
pgwr5s,place green with r five soon
pgwr6p,place green with r six please
pgwr7a,place green with r seven again
pgwy8n,place green with y eight now
pgwy9s,place green with y nine soon
pgwz1a,place green with z one again
pgwzzp,place green with z zero please
prac6n,place red at c six now
prac7s,place red at c seven soon
prac8p,place red at c eight please
prac9a,place red at c nine again
praj1s,place red at j one soon
praj2p,place red at j two please
praj3a,place red at j three again
prajzn,place red at j zero now
prap4n,place red at p four now
prap5s,place red at p five soon
prap6p,place red at p six please
prap7a,place red at p seven again
prav8n,place red at v eight now
prav9s,place red at v nine soon
prax1a,place red at x one again
praxzp,place red at x zero please
prbd1s,place red by d one soon
prbd2p,place red by d two please
prbd3a,place red by d three again
prbdzn,place red by d zero now
prbj4n,place red by j four now
prbj5s,place red by j five soon
prbj6p,place red by j six please
prbj7a,place red by j seven again
prbp8n,place red by p eight now
prbp9s,place red by p nine soon
prbq1a,place red by q one again
prbqzp,place red by q zero please
prbx2n,place red by x two now
prbx3s,place red by x three soon
prbx4p,place red by x four please
prbx5a,place red by x five again
pric2n,place red in c two now
pric3s,place red in c three soon
pric4p,place red in c four please
pric5a,place red in c five again
prii6n,place red in i six now
prii7s,place red in i seven soon
prii8p,place red in i eight please
prii9a,place red in i nine again
prip1s,place red in p one soon
prip2p,place red in p two please
prip3a,place red in p three again
pripzn,place red in p zero now
priv4n,place red in v four now
priv5s,place red in v five soon
priv6p,place red in v six please
priv7a,place red in v seven again
prwd4n,place red with d four now
prwd5s,place red with d five soon
prwd6p,place red with d six please
prwd7a,place red with d seven again
prwj8n,place red with j eight now
prwj9s,place red with j nine soon
prwk1a,place red with k one again
prwkzp,place red with k zero please
prwq2n,place red with q two now
prwq3s,place red with q three soon
prwq4p,place red with q four please
prwq5a,place red with q five again
prwx6n,place red with x six now
prwx7s,place red with x seven soon
prwx8p,place red with x eight please
prwx9a,place red with x nine again
pwad2n,place white at d two now
pwad3s,place white at d three soon
pwad4p,place white at d four please
pwad5a,place white at d five again
pwaj6n,place white at j six now
pwaj7s,place white at j seven soon
pwaj8p,place white at j eight please
pwaj9a,place white at j nine again
pwaq1s,place white at q one soon
pwaq2p,place white at q two please
pwaq3a,place white at q three again
pwaqzn,place white at q zero now
pwax4n,place white at x four now
pwax5s,place white at x five soon
pwax6p,place white at x six please
pwax7a,place white at x seven again
pwbd6n,place white by d six now
pwbd7s,place white by d seven soon
pwbd8p,place white by d eight please
pwbd9a,place white by d nine again
pwbk1s,place white by k one soon
pwbk2p,place white by k two please
pwbk3a,place white by k three again
pwbkzn,place white by k zero now
pwbq4n,place white by q four now
pwbq5s,place white by q five soon
pwbq6p,place white by q six please
pwbq7a,place white by q seven again
pwbx8n,place white by x eight now
pwbx9s,place white by x nine soon
pwby1a,place white by y one again
pwbyzp,place white by y zero please
pwic8n,place white in c eight now
pwic9s,place white in c nine soon
pwid1a,place white in d one again
pwidzp,place white in d zero please
pwij2n,place white in j two now
pwij3s,place white in j three soon
pwij4p,place white in j four please
pwij5a,place white in j five again
pwip6n,place white in p six now
pwip7s,place white in p seven soon
pwip8p,place white in p eight please
pwip9a,place white in p nine again
pwix1s,place white in x one soon
pwix2p,place white in x two please
pwix3a,place white in x three again
pwixzn,place white in x zero now
pwwe1s,place white with e one soon
pwwe2p,place white with e two please
pwwe3a,place white with e three again
pwwezn,place white with e zero now
pwwk4n,place white with k four now
pwwk5s,place white with k five soon
pwwk6p,place white with k six please
pwwk7a,place white with k seven again
pwwq8n,place white with q eight now
pwwq9s,place white with q nine soon
pwwr1a,place white with r one again
pwwrzp,place white with r zero please
pwwy2n,place white with y two now
pwwy3s,place white with y three soon
pwwy4p,place white with y four please
pwwy5a,place white with y five again
sbaa4n,set blue at a four now
sbaa5s,set blue at a five soon
sbaa6p,set blue at a six please
sbaa7a,set blue at a seven again
sbag8n,set blue at g eight now
sbag9s,set blue at g nine soon
sbah1a,set blue at h one again
sbahzp,set blue at h zero please
sban2n,set blue at n two now
sban3s,set blue at n three soon
sban4p,set blue at n four please
sban5a,set blue at n five again
sbat6n,set blue at t six now
sbat7s,set blue at t seven soon
sbat8p,set blue at t eight please
sbat9a,set blue at t nine again
sbba8n,set blue by a eight now
sbba9s,set blue by a nine soon
sbbb1a,set blue by b one again
sbbbzp,set blue by b zero please
sbbh2n,set blue by h two now
sbbh3s,set blue by h three soon
sbbh4p,set blue by h four please
sbbh5a,set blue by h five again
sbbn6n,set blue by n six now
sbbn7s,set blue by n seven soon
sbbn8p,set blue by n eight please
sbbn9a,set blue by n nine again
sbbu1s,set blue by u one soon
sbbu2p,set blue by u two please
sbbu3a,set blue by u three again
sbbuzn,set blue by u zero now
sbia1s,set blue in a one soon
sbia2p,set blue in a two please
sbia3a,set blue in a three again
sbiazn,set blue in a zero now
sbig4n,set blue in g four now
sbig5s,set blue in g five soon
sbig6p,set blue in g six please
sbig7a,set blue in g seven again
sbim8n,set blue in m eight now
sbim9s,set blue in m nine soon
sbin1a,set blue in n one again
sbinzp,set blue in n zero please
sbit2n,set blue in t two now
sbit3s,set blue in t three soon
sbit4p,set blue in t four please
sbit5a,set blue in t five again
sbwb2n,set blue with b two now
sbwb3s,set blue with b three soon
sbwb4p,set blue with b four please
sbwb5a,set blue with b five again
sbwh6n,set blue with h six now
sbwh7s,set blue with h seven soon
sbwh8p,set blue with h eight please
sbwh9a,set blue with h nine again
sbwo1s,set blue with o one soon
sbwo2p,set blue with o two please
sbwo3a,set blue with o three again
sbwozn,set blue with o zero now
sbwu4n,set blue with u four now
sbwu5s,set blue with u five soon
sbwu6p,set blue with u six please
sbwu7a,set blue with u seven again
sgac2n,set green at c two now
sgac3s,set green at c three soon
sgac4p,set green at c four please
sgac5a,set green at c five again
sgai6n,set green at i six now
sgai7s,set green at i seven soon
sgai8p,set green at i eight please
sgai9a,set green at i nine again
sgap1s,set green at p one soon
sgap2p,set green at p two please
sgap3a,set green at p three again
sgapzn,set green at p zero now
sgav4n,set green at v four now
sgav5s,set green at v five soon
sgav6p,set green at v six please
sgav7a,set green at v seven again
sgbc6n,set green by c six now
sgbc7s,set green by c seven soon
sgbc8p,set green by c eight please
sgbc9a,set green by c nine again
sgbj1s,set green by j one soon
sgbj2p,set green by j two please
sgbj3a,set green by j three again
sgbjzn,set green by j zero now
sgbp4n,set green by p four now
sgbp5s,set green by p five soon
sgbp6p,set green by p six please
sgbp7a,set green by p seven again
sgbv8n,set green by v eight now
sgbv9s,set green by v nine soon
sgbx1a,set green by x one again
sgbxzp,set green by x zero please
sgib8n,set green in b eight now
sgib9s,set green in b nine soon
sgic1a,set green in c one again
sgiczp,set green in c zero please
sgii2n,set green in i two now
sgii3s,set green in i three soon
sgii4p,set green in i four please
sgii5a,set green in i five again
sgio6n,set green in o six now
sgio7s,set green in o seven soon
sgio8p,set green in o eight please
sgio9a,set green in o nine again
sgiv1s,set green in v one soon
sgiv2p,set green in v two please
sgiv3a,set green in v three again
sgivzn,set green in v zero now
sgwd1s,set green with d one soon
sgwd2p,set green with d two please
sgwd3a,set green with d three again
sgwdzn,set green with d zero now
sgwj4n,set green with j four now
sgwj5s,set green with j five soon
sgwj6p,set green with j six please
sgwj7a,set green with j seven again
sgwp8n,set green with p eight now
sgwp9s,set green with p nine soon
sgwq1a,set green with q one again
sgwqzp,set green with q zero please
sgwx2n,set green with x two now
sgwx3s,set green with x three soon
sgwx4p,set green with x four please
sgwx5a,set green with x five again
srab1s,set red at b one soon
srab2p,set red at b two please
srab3a,set red at b three again
srabzn,set red at b zero now
srah4n,set red at h four now
srah5s,set red at h five soon
srah6p,set red at h six please
srah7a,set red at h seven again
sran8n,set red at n eight now
sran9s,set red at n nine soon
srao1a,set red at o one again
sraozp,set red at o zero please
srau2n,set red at u two now
srau3s,set red at u three soon
srau4p,set red at u four please
srau5a,set red at u five again
srbb4n,set red by b four now
srbb5s,set red by b five soon
srbb6p,set red by b six please
srbb7a,set red by b seven again
srbh8n,set red by h eight now
srbh9s,set red by h nine soon
srbi1a,set red by i one again
srbizp,set red by i zero please
srbo2n,set red by o two now
srbo3s,set red by o three soon
srbo4p,set red by o four please
srbo5a,set red by o five again
srbu6n,set red by u six now
srbu7s,set red by u seven soon
srbu8p,set red by u eight please
srbu9a,set red by u nine again
sria6n,set red in a six now
sria7s,set red in a seven soon
sria8p,set red in a eight please
sria9a,set red in a nine again
srih1s,set red in h one soon
srih2p,set red in h two please
srih3a,set red in h three again
srihzn,set red in h zero now
srin4n,set red in n four now
srin5s,set red in n five soon
srin6p,set red in n six please
srin7a,set red in n seven again
srit8n,set red in t eight now
srit9s,set red in t nine soon
sriu1a,set red in u one again
sriuzp,set red in u zero please
srwb8n,set red with b eight now
srwb9s,set red with b nine soon
srwc1a,set red with c one again
srwczp,set red with c zero please
srwi2n,set red with i two now
srwi3s,set red with i three soon
srwi4p,set red with i four please
srwi5a,set red with i five again
srwo6n,set red with o six now
srwo7s,set red with o seven soon
srwo8p,set red with o eight please
srwo9a,set red with o nine again
srwv1s,set red with v one soon
srwv2p,set red with v two please
srwv3a,set red with v three again
srwvzn,set red with v zero now
swab6n,set white at b six now
swab7s,set white at b seven soon
swab8p,set white at b eight please
swab9a,set white at b nine again
swai1s,set white at i one soon
swai2p,set white at i two please
swai3a,set white at i three again
swaizn,set white at i zero now
swao4n,set white at o four now
swao5s,set white at o five soon
swao6p,set white at o six please
swao7a,set white at o seven again
