Filename,Transcript,Word_Count
lrak8p.mpg,lay red at k eight please,6
lrak9a.mpg,lay red at k nine again,6
lrar1s.mpg,lay red at r one soon,6
lrar2p.mpg,lay red at r two please,6
lrar3a.mpg,lay red at r three again,6
lrarzn.mpg,lay red at r zero now,6
lray4n.mpg,lay red at y four now,6
lray5s.mpg,lay red at y five soon,6
lray6p.mpg,lay red at y six please,6
lray7a.mpg,lay red at y seven again,6
lrbe6n.mpg,lay red by e six now,6
lrbe7s.mpg,lay red by e seven soon,6
lrbe8p.mpg,lay red by e eight please,6
lrbe9a.mpg,lay red by e nine again,6
lrbl1s.mpg,lay red by l one soon,6
lrbl2p.mpg,lay red by l two please,6
lrbl3a.mpg,lay red by l three again,6
lrblzn.mpg,lay red by l zero now,6
lrbr4n.mpg,lay red by r four now,6
lrbr5s.mpg,lay red by r five soon,6
lrbr6p.mpg,lay red by r six please,6
lrbr7a.mpg,lay red by r seven again,6
lrby8n.mpg,lay red by y eight now,6
lrby9s.mpg,lay red by y nine soon,6
lrbz1a.mpg,lay red by z one again,6
lrbzzp.mpg,lay red by z zero please,6
lrid8n.mpg,lay red in d eight now,6
lrid9s.mpg,lay red in d nine soon,6
lrie1a.mpg,lay red in e one again,6
lriezp.mpg,lay red in e zero please,6
lrik2n.mpg,lay red in k two now,6
lrik3s.mpg,lay red in k three soon,6
lrik4p.mpg,lay red in k four please,6
lrik5a.mpg,lay red in k five again,6
lriq6n.mpg,lay red in q six now,6
lriq7s.mpg,lay red in q seven soon,6
lriq8p.mpg,lay red in q eight please,6
lriq9a.mpg,lay red in q nine again,6
lriy1s.mpg,lay red in y one soon,6
lriy2p.mpg,lay red in y two please,6
lriy3a.mpg,lay red in y three again,6
lriyzn.mpg,lay red in y zero now,6
lrwf1s.mpg,lay red with f one soon,6
lrwf2p.mpg,lay red with f two please,6
lrwf3a.mpg,lay red with f three again,6
lrwfzn.mpg,lay red with f zero now,6
lrwl4n.mpg,lay red with l four now,6
lrwl5s.mpg,lay red with l five soon,6
lrwl6p.mpg,lay red with l six please,6
lrwl7a.mpg,lay red with l seven again,6
lrwr8n.mpg,lay red with r eight now,6
lrwr9s.mpg,lay red with r nine soon,6
lrws1a.mpg,lay red with s one again,6
lrwszp.mpg,lay red with s zero please,6
lrwz2n.mpg,lay red with z two now,6
lrwz3s.mpg,lay red with z three soon,6
lrwz4p.mpg,lay red with z four please,6
lrwz5a.mpg,lay red with z five again,6
lwae8n.mpg,lay white at e eight now,6
lwae9s.mpg,lay white at e nine soon,6
lwaf1a.mpg,lay white at f one again,6
lwafzp.mpg,lay white at f zero please,6
lwal2n.mpg,lay white at l two now,6
lwal3s.mpg,lay white at l three soon,6
lwal4p.mpg,lay white at l four please,6
lwal5a.mpg,lay white at l five again,6
lwar6n.mpg,lay white at r six now,6
lwar7s.mpg,lay white at r seven soon,6
lwar8p.mpg,lay white at r eight please,6
lwar9a.mpg,lay white at r nine again,6
lwaz1s.mpg,lay white at z one soon,6
lwaz2p.mpg,lay white at z two please,6
lwaz3a.mpg,lay white at z three again,6
lwazzn.mpg,lay white at z zero now,6
lwbf2n.mpg,lay white by f two now,6
lwbf3s.mpg,lay white by f three soon,6
lwbf4p.mpg,lay white by f four please,6
lwbf5a.mpg,lay white by f five again,6
lwbl6n.mpg,lay white by l six now,6
lwbl7s.mpg,lay white by l seven soon,6
lwbl8p.mpg,lay white by l eight please,6
lwbl9a.mpg,lay white by l nine again,6
lwbs1s.mpg,lay white by s one soon,6
lwbs2p.mpg,lay white by s two please,6
lwbs3a.mpg,lay white by s three again,6
lwbszn.mpg,lay white by s zero now,6
lwbz4n.mpg,lay white by z four now,6
lwbz5s.mpg,lay white by z five soon,6
lwbz6p.mpg,lay white by z six please,6
lwbz7a.mpg,lay white by z seven again,6
lwie4n.mpg,lay white in e four now,6
lwie5s.mpg,lay white in e five soon,6
lwie6p.mpg,lay white in e six please,6
lwie7a.mpg,lay white in e seven again,6
lwik8n.mpg,lay white in k eight now,6
lwik9s.mpg,lay white in k nine soon,6
lwil1a.mpg,lay white in l one again,6
lwilzp.mpg,lay white in l zero please,6
lwir2n.mpg,lay white in r two now,6
lwir3s.mpg,lay white in r three soon,6
lwir4p.mpg,lay white in r four please,6
lwir5a.mpg,lay white in r five again,6
lwiy6n.mpg,lay white in y six now,6
lwiy7s.mpg,lay white in y seven soon,6
lwiy8p.mpg,lay white in y eight please,6
lwiy9a.mpg,lay white in y nine again,6
lwwf6n.mpg,lay white with f six now,6
lwwf7s.mpg,lay white with f seven soon,6
lwwf8p.mpg,lay white with f eight please,6
lwwf9a.mpg,lay white with f nine again,6
lwwm1s.mpg,lay white with m one soon,6
lwwm2p.mpg,lay white with m two please,6
lwwm3a.mpg,lay white with m three again,6
lwwmzn.mpg,lay white with m zero now,6
lwws4n.mpg,lay white with s four now,6
lwws5s.mpg,lay white with s five soon,6
lwws6p.mpg,lay white with s six please,6
lwws7a.mpg,lay white with s seven again,6
lwwz8n.mpg,lay white with z eight now,6
lwwz9s.mpg,lay white with z nine soon,6
pbac1s.mpg,place blue at c one soon,6
pbac2p.mpg,place blue at c two please,6
pbac3a.mpg,place blue at c three again,6
pbaczn.mpg,place blue at c zero now,6
pbai4n.mpg,place blue at i four now,6
pbai5s.mpg,place blue at i five soon,6
pbai6p.mpg,place blue at i six please,6
pbai7a.mpg,place blue at i seven again,6
pbao8n.mpg,place blue at o eight now,6
pbao9s.mpg,place blue at o nine soon,6
pbap1a.mpg,place blue at p one again,6
pbapzp.mpg,place blue at p zero please,6
pbav2n.mpg,place blue at v two now,6
pbav3s.mpg,place blue at v three soon,6
pbav4p.mpg,place blue at v four please,6
pbav5a.mpg,place blue at v five again,6
pbbc4n.mpg,place blue by c four now,6
pbbc5s.mpg,place blue by c five soon,6
pbbc6p.mpg,place blue by c six please,6
pbbc7a.mpg,place blue by c seven again,6
pbbi8n.mpg,place blue by i eight now,6
pbbi9s.mpg,place blue by i nine soon,6
pbbj1a.mpg,place blue by j one again,6
pbbjzp.mpg,place blue by j zero please,6
pbbp2n.mpg,place blue by p two now,6
pbbp3s.mpg,place blue by p three soon,6
pbbp4p.mpg,place blue by p four please,6
pbbp5a.mpg,place blue by p five again,6
pbbv6n.mpg,place blue by v six now,6
pbbv7s.mpg,place blue by v seven soon,6
pbbv8p.mpg,place blue by v eight please,6
pbbv9a.mpg,place blue by v nine again,6
pbib6n.mpg,place blue in b six now,6
pbib7s.mpg,place blue in b seven soon,6
pbib8p.mpg,place blue in b eight please,6
pbib9a.mpg,place blue in b nine again,6
pbii1s.mpg,place blue in i one soon,6
pbii2p.mpg,place blue in i two please,6
pbii3a.mpg,place blue in i three again,6
pbiizn.mpg,place blue in i zero now,6
pbio4n.mpg,place blue in o four now,6
pbio5s.mpg,place blue in o five soon,6
pbio6p.mpg,place blue in o six please,6
pbio7a.mpg,place blue in o seven again,6
pbiu8n.mpg,place blue in u eight now,6
pbiu9s.mpg,place blue in u nine soon,6
pbiv1a.mpg,place blue in v one again,6
pbivzp.mpg,place blue in v zero please,6
pbwc8n.mpg,place blue with c eight now,6
pbwc9s.mpg,place blue with c nine soon,6
pbwd1a.mpg,place blue with d one again,6
pbwdzp.mpg,place blue with d zero please,6
pbwj2n.mpg,place blue with j two now,6
pbwj3s.mpg,place blue with j three soon,6
pbwj4p.mpg,place blue with j four please,6
pbwj5a.mpg,place blue with j five again,6
pbwp6n.mpg,place blue with p six now,6
pbwp7s.mpg,place blue with p seven soon,6
pbwp8p.mpg,place blue with p eight please,6
pbwp9a.mpg,place blue with p nine again,6
pbwx1s.mpg,place blue with x one soon,6
pbwx2p.mpg,place blue with x two please,6
pbwx3a.mpg,place blue with x three again,6
pbwxzn.mpg,place blue with x zero now,6
pgad8n.mpg,place green at d eight now,6
pgad9s.mpg,place green at d nine soon,6
pgae1a.mpg,place green at e one again,6
pgaezp.mpg,place green at e zero please,6
pgak2n.mpg,place green at k two now,6
pgak3s.mpg,place green at k three soon,6
pgak4p.mpg,place green at k four please,6
pgak5a.mpg,place green at k five again,6
pgaq6n.mpg,place green at q six now,6
pgaq7s.mpg,place green at q seven soon,6
pgaq8p.mpg,place green at q eight please,6
pgaq9a.mpg,place green at q nine again,6
pgay1s.mpg,place green at y one soon,6
pgay2p.mpg,place green at y two please,6
pgay3a.mpg,place green at y three again,6
pgayzn.mpg,place green at y zero now,6
pgbe2n.mpg,place green by e two now,6
pgbe3s.mpg,place green by e three soon,6
pgbe4p.mpg,place green by e four please,6
pgbe5a.mpg,place green by e five again,6
pgbk6n.mpg,place green by k six now,6
pgbk7s.mpg,place green by k seven soon,6
pgbk8p.mpg,place green by k eight please,6
pgbk9a.mpg,place green by k nine again,6
pgbr1s.mpg,place green by r one soon,6
pgbr2p.mpg,place green by r two please,6
pgbr3a.mpg,place green by r three again,6
pgbrzn.mpg,place green by r zero now,6
pgby4n.mpg,place green by y four now,6
pgby5s.mpg,place green by y five soon,6
pgby6p.mpg,place green by y six please,6
pgby7a.mpg,place green by y seven again,6
pgid4n.mpg,place green in d four now,6
pgid5s.mpg,place green in d five soon,6
pgid6p.mpg,place green in d six please,6
pgid7a.mpg,place green in d seven again,6
pgij8n.mpg,place green in j eight now,6
pgij9s.mpg,place green in j nine soon,6
pgik1a.mpg,place green in k one again,6
pgikzp.mpg,place green in k zero please,6
pgiq2n.mpg,place green in q two now,6
pgiq3s.mpg,place green in q three soon,6
pgiq4p.mpg,place green in q four please,6
pgiq5a.mpg,place green in q five again,6
pgix6n.mpg,place green in x six now,6
pgix7s.mpg,place green in x seven soon,6
pgix8p.mpg,place green in x eight please,6
pgix9a.mpg,place green in x nine again,6
pgwe6n.mpg,place green with e six now,6
pgwe7s.mpg,place green with e seven soon,6
pgwe8p.mpg,place green with e eight please,6
pgwe9a.mpg,place green with e nine again,6
pgwl1s.mpg,place green with l one soon,6
pgwl2p.mpg,place green with l two please,6
pgwl3a.mpg,place green with l three again,6
pgwlzn.mpg,place green with l zero now,6
pgwr4n.mpg,place green with r four now,6
pgwr5s.mpg,place green with r five soon,6
pgwr6p.mpg,place green with r six please,6
pgwr7a.mpg,place green with r seven again,6
pgwy8n.mpg,place green with y eight now,6
pgwy9s.mpg,place green with y nine soon,6
pgwz1a.mpg,place green with z one again,6
pgwzzp.mpg,place green with z zero please,6
prac6n.mpg,place red at c six now,6
prac7s.mpg,place red at c seven soon,6
prac8p.mpg,place red at c eight please,6
prac9a.mpg,place red at c nine again,6
praj1s.mpg,place red at j one soon,6
praj2p.mpg,place red at j two please,6
praj3a.mpg,place red at j three again,6
prajzn.mpg,place red at j zero now,6
prap4n.mpg,place red at p four now,6
prap5s.mpg,place red at p five soon,6
prap6p.mpg,place red at p six please,6
prap7a.mpg,place red at p seven again,6
prav8n.mpg,place red at v eight now,6
prav9s.mpg,place red at v nine soon,6
prax1a.mpg,place red at x one again,6
praxzp.mpg,place red at x zero please,6
prbd1s.mpg,place red by d one soon,6
prbd2p.mpg,place red by d two please,6
prbd3a.mpg,place red by d three again,6
prbdzn.mpg,place red by d zero now,6
prbj4n.mpg,place red by j four now,6
prbj5s.mpg,place red by j five soon,6
prbj6p.mpg,place red by j six please,6
prbj7a.mpg,place red by j seven again,6
prbp8n.mpg,place red by p eight now,6
prbp9s.mpg,place red by p nine soon,6
prbq1a.mpg,place red by q one again,6
prbqzp.mpg,place red by q zero please,6
prbx2n.mpg,place red by x two now,6
prbx3s.mpg,place red by x three soon,6
prbx4p.mpg,place red by x four please,6
prbx5a.mpg,place red by x five again,6
pric2n.mpg,place red in c two now,6
pric3s.mpg,place red in c three soon,6
pric4p.mpg,place red in c four please,6
pric5a.mpg,place red in c five again,6
prii6n.mpg,place red in i six now,6
prii7s.mpg,place red in i seven soon,6
prii8p.mpg,place red in i eight please,6
prii9a.mpg,place red in i nine again,6
prip1s.mpg,place red in p one soon,6
prip2p.mpg,place red in p two please,6
prip3a.mpg,place red in p three again,6
pripzn.mpg,place red in p zero now,6
priv4n.mpg,place red in v four now,6
priv5s.mpg,place red in v five soon,6
priv6p.mpg,place red in v six please,6
priv7a.mpg,place red in v seven again,6
